epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5804,1.10006,1.4726,1.54152,0.22139,0.35714,0.15325,0.04862,2.50727,3.29995,3.87769,0.000661871,0.000661871,0.000661871
2,71.5602,1.20984,1.1456,1.61195,0.10895,0.47143,0.06893,0.02756,2.15178,6.52439,3.13274,0.00131538,0.00131538,0.00131538
3,106.28,1.22011,1.12847,1.62242,0.48935,0.44286,0.40276,0.20384,2.33722,2.44927,3.3688,0.0019557,0.0019557,0.0019557
4,140.949,1.14741,1.01498,1.55187,0.81279,0.44286,0.50698,0.25854,1.9712,1.7132,2.88892,0.0019406,0.0019406,0.0019406
5,175.555,1.06758,0.94491,1.49634,0.65834,0.52307,0.58662,0.27436,2.04152,1.64592,2.97265,0.0019208,0.0019208,0.0019208
6,210.095,1.00337,0.89227,1.44688,0.64253,0.6163,0.63308,0.36799,1.68814,1.46783,2.52351,0.001901,0.001901,0.001901
7,244.571,1.00593,0.85897,1.43218,0.83968,0.51429,0.63545,0.3385,1.83899,1.35941,2.75921,0.0018812,0.0018812,0.0018812
8,279.188,0.98622,0.83852,1.42452,0.72943,0.52857,0.6024,0.28603,1.93188,1.49617,2.80417,0.0018614,0.0018614,0.0018614
9,314.574,0.93264,0.79855,1.39333,0.77669,0.58571,0.67876,0.39631,1.49176,1.38302,2.16523,0.0018416,0.0018416,0.0018416
10,349.187,0.90684,0.73944,1.36847,0.77135,0.6,0.70131,0.44465,1.36649,1.17586,2.11057,0.0018218,0.0018218,0.0018218
11,383.776,0.86631,0.73034,1.34277,0.8662,0.55495,0.69683,0.43097,1.48284,1.15379,2.27924,0.001802,0.001802,0.001802
12,418.502,0.86512,0.70563,1.33476,0.75395,0.61286,0.68068,0.39419,1.58835,1.1802,2.38335,0.0017822,0.0017822,0.0017822
